



751,-18,-994,0
751,-6,-988,0
751,-7,-983,0
1,-2,-967,0
781,0,-981,0
751,-18,-994,0
751,-6,-988,0
751,-7,-983,0
791,-46,-977,0
790,-39,-976,0
785,-39,-977,0
784,-38,-979,0
782,-41,-980,0
782,-42,-981,0
785,-42,-970,0
786,-46,-981,0
780,-40,-981,0
784,-43,-977,0
784,-45,-979,0
782,-43,-973,0
783,-43,-981,0
780,-45,-986,0
785,-42,-974,0
787,-41,-969,0
785,-40,-990,0
782,-41,-985,0
783,-46,-995,0
784,-44,-983,0
786,-44,-981,0
781,-41,-977,0
786,-43,-986,1
784,-43,-969,1
785,-42,-980,1
783,-41,-984,1
785,-39,-977,1
785,-42,-978,1
786,-36,-977,1
783,-43,-983,1
783,-38,-985,1
787,-41,-985,1
789,-45,-980,1
782,-36,-982,1
774,-37,-974,1
778,-36,-977,1
781,-37,-992,1
771,-38,-983,1
772,-35,-991,1
771,-41,-994,1
770,-40,-984,1
776,-36,-990,1
781,-39,-980,1
781,-41,-988,1
776,-47,-981,1
778,-43,-983,1
783,-41,-986,1
784,-38,-978,1
778,-41,-974,1
781,-39,-985,1
777,-44,-983,1
785,-41,-979,1
784,-37,-980,1
778,-39,-974,1
781,-40,-1001,1
777,-37,-989,1
775,-29,-985,1
773,-34,-991,1
778,-30,-984,1
778,-40,-991,1
777,-34,-986,1
783,-37,-992,1
783,-32,-986,1
781,-33,-985,1
781,-41,-978,1
779,-35,-985,1
782,-34,-979,1
782,-36,-989,1
786,-30,-976,1
787,-31,-995,1
782,-33,-987,1
782,-30,-986,1
784,-28,-983,1
785,-24,-987,0
774,-30,-977,0
778,-27,-982,0
775,-29,-989,0
779,-31,-995,0
786,-32,-986,0
783,-25,-967,0
786,-31,-975,0
779,-31,-988,0
775,-33,-990,0
774,-32,-1002,0
775,-34,-982,0
777,-32,-983,0
774,-28,-986,0
769,-34,-990,0
767,-36,-981,0
772,-32,-986,0
770,-26,-996,0
774,-31,-982,0
770,-28,-980,0
767,-23,-986,0
771,-28,-987,0
766,-24,-981,0
768,-29,-985,0
769,-32,-984,0
764,-23,-987,0
767,-26,-988,0
770,-24,-985,0
768,-21,-977,0
768,-21,-977,0
766,-26,-986,0
764,-25,-988,0
764,-25,-985,0
766,-23,-991,0
764,-26,-992,0
763,-26,-985,0
765,-26,-1000,0
770,-26,-995,0
765,-22,-978,0
768,-22,-996,0
767,-26,-987,0
767,-21,-991,0
766,-25,-995,0
769,-23,-993,0
770,-24,-999,0
769,-25,-1004,0
766,-24,-996,0
764,-23,-996,0
762,-28,-1002,0
764,-32,-995,0
763,-26,-1006,0
767,-28,-1003,0
763,-23,-990,0
761,-24,-1001,0
